1.256 	2.854	0.867	13.0898209	1.78038265	1.3617321
1.281	0.001 	1.116	35.5273367	5.19352275	4.53651305
1.322	0.117	1.41	31.22709555	4.9994526	4.29054975
1.336 	2.854	1.809	142.4215604	17.83006075	15.3875725
1.379	0.184	1.69	19.8955224	3.54661165	2.98313375
1.42	1.325	1.271	43.06839435	6.6653063	5.8057638
1.448	1.268	1.678	29.15366645	4.93579185	4.0854626
1.5	1.488	1.07	24.9529792	3.80380105	3.1938155
1.500 	2.240 	1.670 	43.316 	6.842 	5.939
1.51	3.25	1.11	28.92710995	4.8421764	4.31157635
1.54	2.25	1.11	30.91580775	4.68783535	4.3138866
1.54	3.23	1.67	50.07091375	7.57048085	6.63240985
1.55	1.122	1.074	18.897837	2.90300885	2.4601764
1.55	2.45	1.11	32.53577625	4.51150945	3.88911835
1.55	3.41	1.11	61.0215037	8.1498729	7.58037465
1.559 	2.854	0.867	19.71064305	3.0525462	2.4492218
1.57	4.61	1.67	70.33874705	10.06715325	8.9779529
1.58	4.36	1.11	30.89106645	4.67972565	4.16247795
1.584	0.12	1.41	31.767595	5.0531809	4.29023275
1.585 	1.330 	1.075 	31.890 	4.775 	4.055
1.643	0.56	1.077	3.11576125	0.5726603	0.37698065
1.652	0.436	1.41	66.0623941	9.2114498	8.03711505
1.670 	2.350 	1.670 	37.275 	6.370 	5.525
1.68	4.49	1.11	56.2619327	7.76144025	7.1397157
1.680 	4.610 	1.110 	31.240 	4.323 	3.722
1.681	1.448	1.678	53.10364755	8.0642511	6.82341845
1.71	3.55	1.11	31.79416015	4.39043345	3.76948055
1.72	2.35	1.11	48.1289884	6.8735476	6.2520393
1.72	3.55	1.67	66.83199	9.56916525	8.53546255
1.76	3.41	1.67	41.9507344	6.9237029	5.95590845
1.770 	2.460 	1.670 	72.373 	10.366 	9.253
1.789	0.449	1.681	79.60854895	11.8598063	10.25079465
1.81	4.36	1.67	55.08600355	8.2833942	7.27108435
1.81	4.490 	1.67	42.1751606	6.85233705	5.966573
1.898	1.325	1.271	52.41515765	7.85158745	6.65080675
1.939 	2.854	1.809	187.8491204	24.1903192	21.27311045
1.94	1.122	1.074	11.83161805	1.66887155	1.3667611
1.949	0.14	1.41	51.587758	6.4522659	5.34010115
1.990 	2.460 	1.670 	76.805 	11.191 	9.835
1.99	3.23	1.67	80.64789865	11.43295105	10.01952105
1.991	0.436	1.41	86.72197095	12.58724015	10.86904285
2	0.184	1.69	30.28333205	5.11774375	4.1918037
2	4.36	1.67	79.54141335	11.181681	9.75553365
2	4.49	1.67	75.2005842	10.9850247	9.64961035
2.009	1.33	1.075	26.2130767	3.83882885	3.21319655
2.010 	2.350 	1.670 	76.326 	11.191 	9.851
2.010 	4.610 	1.110 	22.599 	3.137 	2.618
2.021	1.488	1.07	19.0083964	2.6761415	2.16931795
2.087	2.854	0.867	7.7548874	1.25777345	0.90418165
2.1	2.45	1.11	22.9279313	3.1898152	2.6764099
2.101	1.268	1.678	37.74752915	6.8779921	5.6031661
2.110 	3.550 	1.670 	78.484 	11.412 	10.001
2.2	4.49	1.11	33.48628825	5.15718745	4.4817279
2.21	0.14	1.41	63.4142643	7.40162785	6.0841544
2.26	2.25	1.11	21.2874241	3.03188885	2.72996155
2.26	2.35	1.11	33.37658365	5.1655796	4.4684221
2.26	3.41	1.67	73.75820485	10.8139111	9.475448
2.28	0.001 	1.116	42.64602055	6.28157355	5.29728235
2.299	1.33	1.075	36.28021045	5.72839325	4.8490383
2.3	4.36	1.11	25.75180555	3.84774035	3.39783535
2.328	1.325	1.271	57.690859	8.53522615	7.18084805
2.35	3.250 	1.11	22.87483895	3.45531015	3.07583465
2.38	3.41	1.11	35.5214373	5.4380736	4.7140422
2.390 	3.550 	1.110 	22.046 	3.068 	2.570
2.395	1.122	1.074	24.19185495	3.75952145	3.1490695
2.4	4.61	1.67	76.9299944	11.21072865	9.85677875
2.410 	2.240 	1.670 	69.662 	10.068 	8.854
2.434	0.436	1.41	45.69387975	7.14301345	5.97637985
2.458 	1.488 	1.070 	23.642 	3.478 	2.856
2.490 	2.35	1.11	21.47830585	3.1567476	2.6356739
2.490 	2.350 	1.670 	57.655 	8.374 	7.341
2.500 	2.240 	1.670 	60.649 	8.826 	7.775
2.53	3.55	1.11	17.817255	2.51781115	2.08807875
2.54	4.61	1.67	62.02997085	9.02269955	7.92537455
